                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2038,                 3.0374,                 1.3985,                0.51973,                0.28723,                0.27593,                0.19528,                 1.0771,                 1.7579,                 1.3328,                 0.0712,                 0.0032,                 0.0032
                      1,                 1.0801,                   1.56,                 1.2502,                0.63109,                0.36195,                0.39337,                0.27067,                 1.0816,                 1.4425,                 1.2544,               0.041371,              0.0063713,              0.0063713
                      2,                 1.0747,                 1.3679,                  1.229,                0.55802,                0.38867,                0.42917,                0.27755,                 1.1961,                 1.4755,                  1.335,               0.011412,              0.0094119,              0.0094119
                      3,                 1.1036,                 1.3424,                 1.2436,                0.64903,                0.35777,                0.40159,                0.24262,                 1.2776,                 1.5731,                 1.3935,               0.009406,               0.009406,               0.009406
                      4,                 1.0968,                 1.1812,                 1.2385,                0.51975,                0.42651,                0.44187,                0.27618,                  1.313,                 1.4264,                  1.455,               0.009406,               0.009406,               0.009406
                      5,                  1.109,                 1.1545,                 1.2554,                0.60932,                0.38623,                0.43178,                0.28565,                 1.2409,                 1.2611,                  1.396,               0.009208,               0.009208,               0.009208
                      6,                 1.0914,                 1.0998,                 1.2198,                 0.7039,                0.40684,                 0.4466,                0.28176,                 1.3094,                 1.3724,                 1.4564,                0.00901,                0.00901,                0.00901
                      7,                  1.119,                 1.1252,                 1.2499,                 0.6392,                 0.3906,                0.44744,                0.30567,                 1.3336,                 1.2907,                    1.5,               0.008812,               0.008812,               0.008812
                      8,                 1.0734,                 1.0368,                 1.2168,                0.73157,                0.43592,                0.50917,                0.33422,                 1.2749,                 1.1276,                 1.4541,               0.008614,               0.008614,               0.008614
                      9,                 1.0796,                0.99855,                 1.2275,                0.60186,                0.40951,                 0.4311,                0.27503,                 1.2876,                 1.1679,                 1.4464,               0.008416,               0.008416,               0.008416
                     10,                 1.0599,                0.99688,                 1.2089,                0.59313,                0.46285,                0.48743,                0.30672,                 1.2929,                 1.1968,                 1.4501,               0.008218,               0.008218,               0.008218
                     11,                 1.0572,                0.96053,                 1.2038,                0.64477,                 0.4488,                0.47527,                0.30807,                 1.3658,                 1.2513,                 1.4957,                0.00802,                0.00802,                0.00802
                     12,                 1.0478,                0.94653,                 1.1875,                 0.6015,                0.42295,                 0.4878,                0.30644,                 1.2432,                 1.1843,                 1.3985,               0.007822,               0.007822,               0.007822
                     13,                 1.0248,                0.88431,                 1.1794,                0.53988,                0.47036,                0.48534,                0.32039,                 1.2434,                 1.1742,                  1.394,               0.007624,               0.007624,               0.007624
                     14,                 1.0211,                 0.8969,                 1.1875,                0.62974,                0.44827,                0.46314,                0.32125,                 1.2696,                  1.255,                 1.4303,               0.007426,               0.007426,               0.007426
                     15,                 0.9817,                 0.8625,                 1.1708,                0.64641,                0.44449,                0.51076,                0.33422,                 1.2279,                 1.1065,                 1.3939,               0.007228,               0.007228,               0.007228
                     16,                 0.9819,                0.83718,                 1.1618,                0.70072,                0.45248,                0.49008,                0.32838,                  1.278,                 1.1215,                 1.4091,                0.00703,                0.00703,                0.00703
                     17,                0.95356,                0.80129,                 1.1456,                0.62427,                0.47331,                0.49408,                0.34731,                 1.1884,                 1.0587,                 1.3613,               0.006832,               0.006832,               0.006832
                     18,                0.93304,                0.78595,                  1.129,                0.68065,                0.45379,                0.50718,                0.35551,                 1.1976,                 1.0759,                 1.3902,               0.006634,               0.006634,               0.006634
                     19,                 0.9501,                0.81804,                 1.1558,                0.63059,                0.49854,                0.52722,                0.36485,                 1.1931,                 1.1101,                 1.3684,               0.006436,               0.006436,               0.006436
                     20,                0.93239,                0.75243,                 1.1189,                0.72047,                0.46994,                0.52168,                0.37496,                 1.1973,                 1.0515,                 1.3818,               0.006238,               0.006238,               0.006238
                     21,                0.89355,                0.72473,                 1.1117,                 0.6769,                0.44935,                0.51395,                0.35767,                 1.1729,                 1.0323,                 1.3415,                0.00604,                0.00604,                0.00604
                     22,                 0.8989,                0.69044,                 1.0943,                0.65781,                0.42553,                0.49716,                0.34823,                 1.1993,                 1.0568,                 1.3559,               0.005842,               0.005842,               0.005842
                     23,                0.88976,                0.69744,                 1.0967,                0.63076,                0.45437,                0.50073,                0.35263,                 1.1852,                 1.0728,                 1.3602,               0.005644,               0.005644,               0.005644
                     24,                0.86923,                 0.6719,                 1.1008,                0.62261,                0.47045,                0.53168,                0.36646,                 1.1593,                 1.0055,                 1.3651,               0.005446,               0.005446,               0.005446
                     25,                0.87001,                0.65779,                  1.093,                0.71948,                0.45568,                 0.5249,                0.36635,                 1.1863,                0.98908,                 1.3733,               0.005248,               0.005248,               0.005248
                     26,                0.84314,                0.63989,                 1.0737,                0.62644,                0.51393,                0.54574,                0.39141,                 1.1435,                0.96104,                 1.3405,                0.00505,                0.00505,                0.00505
                     27,                0.83448,                0.64209,                 1.0711,                0.68688,                0.48196,                0.54763,                0.38699,                 1.1531,                0.98336,                 1.3425,               0.004852,               0.004852,               0.004852
                     28,                0.81684,                0.61128,                 1.0704,                0.68353,                0.49984,                0.51578,                0.37922,                 1.1626,                  0.989,                 1.3558,               0.004654,               0.004654,               0.004654
                     29,                0.80862,                0.60053,                 1.0463,                0.78969,                0.44092,                0.53483,                 0.3757,                 1.1542,                0.97034,                 1.3488,               0.004456,               0.004456,               0.004456
                     30,                0.79295,                0.58681,                 1.0517,                0.81094,                0.46313,                0.55384,                0.39643,                 1.1341,                 0.9615,                 1.3229,               0.004258,               0.004258,               0.004258
                     31,                0.78429,                0.57597,                 1.0379,                0.73872,                0.47051,                0.55177,                0.38613,                 1.1612,                0.97788,                 1.3429,                0.00406,                0.00406,                0.00406
                     32,                0.77802,                0.56545,                  1.049,                 0.7364,                0.49483,                0.54745,                0.39131,                 1.1442,                0.93515,                 1.3578,               0.003862,               0.003862,               0.003862
                     33,                0.77629,                0.56618,                 1.0347,                0.76048,                0.47507,                0.55233,                0.39411,                 1.1505,                0.93186,                 1.3644,               0.003664,               0.003664,               0.003664
                     34,                0.76124,                 0.5407,                 1.0311,                0.73287,                0.51924,                0.55678,                0.38881,                   1.16,                0.88005,                 1.3874,               0.003466,               0.003466,               0.003466
                     35,                0.72735,                0.50745,                 1.0141,                0.81597,                0.46032,                0.59016,                0.41065,                 1.1878,                0.87858,                 1.4022,               0.003268,               0.003268,               0.003268
                     36,                0.74249,                0.52455,                 1.0181,                0.62698,                0.51276,                0.58481,                0.40249,                 1.1906,                0.93712,                 1.3873,                0.00307,                0.00307,                0.00307
                     37,                0.70572,                0.50577,                 1.0115,                0.74609,                0.49848,                0.57829,                  0.401,                  1.183,                0.95988,                 1.3841,               0.002872,               0.002872,               0.002872
                     38,                0.70101,                0.49299,                 0.9988,                0.72321,                0.51572,                0.58271,                0.40922,                 1.1636,                0.92567,                 1.3679,               0.002674,               0.002674,               0.002674
                     39,                0.68465,                0.49086,                0.99679,                0.80407,                0.50692,                0.61714,                0.43451,                  1.154,                0.88231,                 1.3597,               0.002476,               0.002476,               0.002476
                     40,                0.69145,                0.48489,                0.98791,                0.59737,                0.58242,                0.62304,                0.43583,                 1.1361,                0.85982,                  1.355,               0.002278,               0.002278,               0.002278
                     41,                0.68794,                0.47878,                0.99634,                0.79165,                0.49428,                0.61596,                0.42966,                 1.1485,                0.89498,                 1.3545,                0.00208,                0.00208,                0.00208
                     42,                0.66271,                 0.4676,                0.98021,                0.78985,                0.49445,                 0.6126,                0.43551,                 1.1403,                0.87143,                 1.3584,               0.001882,               0.001882,               0.001882
                     43,                0.66096,                0.46741,                0.98871,                0.76349,                0.51001,                0.61145,                0.43051,                 1.1268,                0.86329,                 1.3478,               0.001684,               0.001684,               0.001684
                     44,                0.63535,                0.44483,                0.97904,                0.76077,                0.51783,                0.60992,                0.43315,                 1.1171,                 0.8579,                 1.3371,               0.001486,               0.001486,               0.001486
                     45,                 0.6314,                0.42656,                0.96619,                 0.7495,                0.50845,                0.60862,                0.43943,                 1.1188,                0.85512,                 1.3395,               0.001288,               0.001288,               0.001288
                     46,                0.62667,                0.43184,                0.95938,                0.74976,                0.51459,                0.60804,                0.43754,                 1.1284,                0.86852,                 1.3442,                0.00109,                0.00109,                0.00109
                     47,                0.60516,                0.41747,                0.96045,                0.61199,                0.58901,                0.61722,                0.44319,                 1.1177,                0.84248,                 1.3424,               0.000892,               0.000892,               0.000892
                     48,                0.59158,                0.40958,                0.95536,                0.72867,                0.51011,                0.62155,                0.44973,                 1.1107,                0.83885,                 1.3444,               0.000694,               0.000694,               0.000694
                     49,                0.58331,                0.39919,                0.95503,                0.60678,                0.60746,                0.62651,                0.45481,                 1.1108,                0.83316,                 1.3437,               0.000496,               0.000496,               0.000496
